Time, Aileron Cmd, Elevator Cmd, Rudder Cmd, Flap Cmd, Left Aileron Pos, Right Aileron Pos, Elevator Pos, Rudder Pos, Flap Pos, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, xGravity, yGravity, zGravity, xCoriolis, yCoriolis, zCoriolis, xCentrifugal, yCentrifugal, zCentrifugal, L, M, N, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius, Pitch Trim Sum, Elevator Control, Roll Trim Sum, Left Aileron Control, Right Aileron Control, Rudder Command Sum, Rudder Control, Flaps Control, Gear Control, Speedbrake Control
0.991667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00403368 , -0.0135522 , 0.000496036, 0.199579 , -0.0760905 , 0.0267066, 0.000245945, 0.454899, 0.114895 , -0.43941 , 0.0255155, 0.114895 , -0.43941 , 0.0255155, 0.247108 , -0.0918282 , 0.0232978, -0.248118 , 0.289505 , -0.3313, 1.33525, 2179.3 , -81846.1 , 486.025, 0 , 0 , 32.1148, 0 , 1.35963e-05 , 0, 0 , 0 , -0.110669, 731228 , -181517 , 159395, 8.99749, -6.24142e-05 , 0.00954064 , 0.785381, 0.21853, -1.30909, 47, 122, 8.99749, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.09167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00625639 , -0.0178304 , -0.000504573, -0.141036 , 0.120071 , -0.0159984, 0.00049288, 0.643971, 0.180571 , 0.617666 , -0.024134, 0.180571 , 0.617666 , -0.024134, -0.20611 , 0.452737 , 0.00543072, -0.927093 , -1.0949 , -0.38528, 0.415578, 2548.22 , 62197.1 , -12645.9, 0 , 0 , 32.1148, 0 , -2.70549e-06 , 0, 0 , 0 , -0.110695, -516718 , 286426 , -95583, 8.99465, 0.000153924 , 0.00785286 , 0.785416, -0.132866, 1.28398, 47, 122, 8.99465, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.19167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00636519 , -0.0111364 , -0.00251394, 0.126741 , 0.0585437 , -0.0116741, 0.000618289, 0.721259, 0.137899 , -0.704738 , -0.0674056, 0.137899 , -0.704738 , -0.0674056, 0.496968 , -0.30174 , -0.07198, -1.65301 , 1.63011 , 0.926739, -0.560637, -280.836 , -57362 , 1533.7, 0 , 0 , 32.1148, 0 , 3.11576e-05 , 0, 0 , 0 , -0.110649, 464467 , 139687 , -69579.2, 9.00181, -9.73523e-05 , 0.00640641 , 0.785257, -0.45465, -1.35635, 47, 122, 9.00181, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.29167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00655527 , -0.00658918 , -0.00187815, -0.159372 , 0.0394176 , 0.0128581, 0.000480963, 0.636139, 0.0857778 , 0.629755 , -0.0268914, 0.0857778 , 0.629755 , -0.0268914, -0.26085 , 0.38969 , -0.0298701, -0.965721 , -1.10022 , 0.596196, -0.617359, -2176.63 , 69544.4 , 1046.67, 0 , 0 , 32.1148, 0 , -1.50367e-05 , 0, 0 , 0 , -0.11069, -583875 , 94007.5 , 76676.9, 9.00661, 0.000169096 , 0.00551626 , 0.785014, -0.303797, 1.42901, 47, 122, 9.00661, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.39167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00539493 , -0.00312876 , -0.00191655, 0.165153 , 0.0245225 , -0.00170837, 0.000366227, 0.555099, 0.0550142 , -0.552359 , -0.00296922, 0.0550142 , -0.552359 , -0.00296922, 0.31111 , -0.22952 , -0.0046085, -0.628794 , 0.774579 , 0.071978, -0.11447, -1194.63 , -69702.2 , 583.88, 0 , 0 , 32.1148, 0 , 1.71023e-05 , 0, 0 , 0 , -0.110657, 605130 , 58516.5 , -10176.5, 9.00811, -0.00020135 , 0.00502925 , 0.784837, -0.0539195, -1.47138, 47, 122, 9.00811, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.49167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00583393 , -0.0012738 , -0.00118167, -0.151329 , 0.00670522 , 0.0070288, 0.000435113, 0.605058, 0.0248689 , 0.604506 , 0.0069913, 0.0248689 , 0.604506 , 0.0069913, -0.291835 , 0.335059 , 0.00643298, -0.925705 , -1.08172 , -0.913725, 0.987058, -2188.88 , 66052.6 , 184.086, 0 , 0 , 32.1148, 0 , -1.50516e-05 , 0, 0 , 0 , -0.110685, -554450 , 15982.4 , 41932.3, 9.00787, 8.21379e-05 , 0.0048125 , 0.784673, 0.274053, 1.52809, 47, 122, 9.00787, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.59167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.0064085 , -0.000351853 , -0.000822934, 0.155177 , 0.00848566 , 0.00402386, 0.000500775, 0.649108, 0.00997833 , -0.648979 , 0.00821993, 0.00997833 , -0.648979 , 0.00821993, 0.34944 , -0.33512 , 0.00821339, -1.49076 , 1.32054 , -0.602355, 0.404059, -206.975 , -67579.8 , 19.3226, 0 , 0 , 32.1148, 0 , 2.22129e-05 , 0, 0 , 0 , -0.110647, 568555 , 20252.8 , 24012.7, 9.0071, -0.000186389 , 0.00472276 , 0.784578, 0.689072, -1.55088, 47, 122, 9.0071, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.69167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00583938 , -0.000794318 , -0.000118774, -0.157713 , -0.0520848 , 0.00671241, 0.000418898, 0.593677, 0.00213632 , 0.593641 , 0.00613786, 0.00213632 , 0.593641 , 0.00613786, -0.302694 , 0.302143 , 0.00659936, -1.84208 , -1.03843 , -0.469997, 0.255145, 1200.16 , 68000.6 , -162.582, 0 , 0 , 32.1148, 0 , -1.55425e-05 , 0, 0 , 0 , -0.110681, -577845 , -124251 , 40050.1, 9.00633, 0.000142807 , 0.00469272 , 0.784528, 1.23585, 1.55985, 47, 122, 9.00633, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.79167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00630826 , -0.000158557 , -0.000253775, 0.161737 , 0.0103727 , 0.000128576, 0.000514436, 0.657903, 0.00526779 , -0.657881 , 0.000693726, 0.00526779 , -0.657881 , 0.000693726, 0.34931 , -0.338327 , 0.000240936, -1.10161 , 1.34093 , -0.305587, 0.277401, -1199.18 , -70336 , 196.735, 0 , 0 , 32.1148, 0 , 2.13738e-05 , 0, 0 , 0 , -0.110646, 592591 , 24747.1 , 768.755, 9.00597, -0.000134367 , 0.00463544 , 0.784515, 0.130939, -1.56272, 47, 122, 9.00597, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
1.89167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00603278 , -0.00491732 , 0.00135097, -0.165661 , 0.0657751 , 0.0154656, 0.000420516, 0.594822, 0.0487914 , 0.591735 , -0.0358173, 0.0487914 , 0.591735 , -0.0358173, -0.261353 , 0.330217 , -0.0394362, -1.08253 , -0.928725 , 0.483085, -0.446256, 123.662 , 71049.4 , 1435.91, 0 , 0 , 32.1148, 0 , -1.71112e-05 , 0, 0 , 0 , -0.110683, -606992 , 156921 , 92248.9, 9.00859, 0.000180394 , 0.00392632 , 0.784541, -0.63324, 1.46886, 47, 122, 9.00859, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
