Time, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, xGravity, yGravity, zGravity, xCoriolis, yCoriolis, zCoriolis, xCentrifugal, yCentrifugal, zCentrifugal, L, M, N, Ixx, Ixy, Ixz, Iyx, Iyy, Iyz, Izx, Izy, Izz, Mass, Xcg, Ycg, Zcg, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius, NOSE_LG_WOW, NOSE_LG_stroke, NOSE_LG_strokeVel, NOSE_LG_CompressForce, NOSE_LG_WhlSideForce, NOSE_LG_WhlVelVecX, NOSE_LG_WhlVelVecY, NOSE_LG_WhlRollForce, NOSE_LG_BodyXForce, NOSE_LG_BodyYForce, NOSE_LG_WhlSlipDegrees, LEFT_MLG_WOW, LEFT_MLG_stroke, LEFT_MLG_strokeVel, LEFT_MLG_CompressForce, LEFT_MLG_WhlSideForce, LEFT_MLG_WhlVelVecX, LEFT_MLG_WhlVelVecY, LEFT_MLG_WhlRollForce, LEFT_MLG_BodyXForce, LEFT_MLG_BodyYForce, LEFT_MLG_WhlSlipDegrees, RIGHT_MLG_WOW, RIGHT_MLG_stroke, RIGHT_MLG_strokeVel, RIGHT_MLG_CompressForce, RIGHT_MLG_WhlSideForce, RIGHT_MLG_WhlVelVecX, RIGHT_MLG_WhlVelVecY, RIGHT_MLG_WhlRollForce, RIGHT_MLG_BodyXForce, RIGHT_MLG_BodyYForce, RIGHT_MLG_WhlSlipDegrees, TotalGearForce_X, TotalGearForce_Y, TotalGearForce_Z, TotalGearMoment_L, TotalGearMoment_M, TotalGearMoment_N
9.99167, -0.0124896 , 0.00078581 , 4.65796e-05, 0.0793925 , -0.0176591 , 2.68478e-05, 0.000542774, 0.675879, -0.0149319 , 0.67571 , 0.00237729, -0.0149319 , 0.67571 , 0.00237729, -0.334164 , -0.598754 , 0.00112964, -5.60433 , -3.17144 , -1.22277, 0.218183, -7390.67 , -14708.8 , 1779.77, 0 , 0 , 32.4427, 0 , -1.69408e-05 , 0, -0.0550728 , 0 , -0.0513562, 1.04679e+06 , -677759 , 1183.92, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8063, -6.54428e-05 , -0.000384409 , 2.61804, 2.98371, 1.54842, 47, 122, 18.8063, 2.09009e+07, 1, 0.30992, -0.0789054, -54390.74238, -0.468298, -0.801057, -11725.5, -1087.81, 6804.41, 9610.94, 5.3895, 1, 0.27046, 0.214023, -197272.1098, -0.46653, -0.796779, -42377.2, -3945.42, 24604, 34728.1, 5.37044, 1, 0.27181, -0.187309, -147950.6328, -0.465413, -0.797395, -31890.6, -2958.99, 18506.8, 26139.3, 5.38876, -8134.78, -15061.7, -398913, 1.04665e+06, -651018, 1119.71
10.9917, 0.015257 , -9.57449e-05 , -0.00250481, 0.0379517 , 0.00218957 , 0.00324362, 0.000624311, 0.72487, 0.00165614 , -0.724867 , -0.00123642, 0.00165614 , -0.724867 , -0.00123642, 0.337651 , 0.588507 , -0.00115928, -3.31034 , 3.1274 , 1.35685, -0.409883, -478.019 , -68848.4 , -36.365, 0 , 0 , 32.4427, 0 , 1.52085e-05 , 0, -0.055186 , 0 , -0.0514618, 500398 , 85644 , 180343, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8061, -7.65043e-05 , -0.000370626 , 2.61779, -0.6413, -1.56795, 47, 122, 18.8061, 2.09009e+07, 1, 0.30821, 0.00861103, -58749.92256, 0.59054, 1.02266, 1649.88, 0, -825.234, -1428.67, -0.702076, 1, 0.27472, -0.230696, -142323.1634, 0.49967, 0.789109, 1416.51, 2846.44, -3173.31, 197.138, -0.248822, 1, 0.26859, 0.225272, -199563.1295, 0.433612, 0.827224, 3077.73, -3991.3, 1916.74, -4661.44, -0.385556, -1220.73, -69112.5, -400726, 500597, -31473.7, 180391
11.9917, -0.0128477 , -6.08704e-06 , 4.41344e-05, -0.0467974 , -0.00126972 , 0.0243197, 0.000500068, 0.648745, -0.000493345 , 0.648745 , 1.80492e-05, -0.000493345 , 0.648745 , 1.80492e-05, -0.303423 , -0.521363 , 9.80736e-05, -1.99011 , -2.47253 , -0.165837, 0.0833303, -3571.82 , 67570.7 , -4.91856, 0 , 0 , 32.4427, 0 , -1.3486e-05 , 0, -0.0550862 , 0 , -0.0513687, -617024 , -48817.8 , 1.35248e+06, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8061, 0.0001258 , -0.000431543 , 2.6177, 3.10502, 1.57004, 47, 122, 18.8061, 2.09009e+07, 1, 0.31338, -0.000210767, -59317.72246, -0.427835, -0.736935, 11307.3, -1186.34, -4629.32, -10384.2, -4.76563, 1, 0.2672, 0.190321, -194191.8306, -0.426149, -0.73284, -14108.7, -3883.91, 10420.9, 10273.5, 1.8163, 1, 0.27421, -0.189846, -147173.7645, -0.425154, -0.733472, -5400.71, -2943.51, 5250.46, 3203.84, 0.917391, -4337.17, 67139.6, -400696, -617158, -48455.8, 1.35243e+06
12.9917, 0.0136378 , -0.000170521 , 0.000768598, 0.0438739 , 0.000233249 , -0.00887384, 0.000790746, 0.815789, 0.00644775 , -0.815763 , -0.000944569, 0.00644775 , -0.815763 , -0.000944569, 0.37872 , 0.668961 , -0.00107151, -3.29888 , 4.00252 , 1.51399, -0.45894, 408.742 , -69862.7 , 138.428, 0 , 0 , 32.4427, 0 , 1.74818e-05 , 0, -0.0551944 , 0 , -0.0514697, 578475 , 8478.03 , -493556, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8063, 4.68427e-05 , -0.000376294 , 2.61842, -0.145461, -1.56281, 47, 122, 18.8063, 2.09009e+07, 1, 0.3085, 0.0134064, -59211.51637, 0.479182, 0.836613, -2915.79, -1184.24, 2482.66, 1934.08, 1.23108, 1, 0.2724, -0.20615, -143975.9663, 0.506921, 0.908347, 22468.5, -2879.52, -8731.65, -20901.8, -3.90144, 1, 0.27045, 0.198863, -197357.1984, 0.527384, 0.896567, -14624.5, 3947.13, 3887.74, 14640.4, 1.85255, -337.19, -70181.5, -400552, 578639, 23016.5, -493468
13.9917, 0.00545012 , 0.000126767 , -1.01841e-06, 0.441489 , -0.00721795 , 0.00137924, 2.27067e-05, 0.138241, -0.00743905 , -0.13804 , 0.00031413, -0.00743905 , -0.13804 , 0.00031413, -0.0314552 , -0.0594167 , 0.000476799, -0.0542501 , -0.0300498 , -0.0117551, 0.216683, -7426.82 , -304644 , -278.068, 0 , 0 , 32.4427, 0 , -7.36332e-06 , 0, -0.0551075 , 0 , -0.0513885, 5.82103e+06 , -277035 , 76711.7, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8059, -0.000352336 , -0.000402798 , 2.61846, 3.09939, -1.51691, 47, 122, 18.8059, 2.09009e+07, 1, 0.31129, -0.0152153, -58228.86997, 0.0184511, 0.0319671, -39534.1, 0, 19751.1, 34246.7, 16.9776, 1, 0.27691, -0.0237544, -164314.0869, 0.0184021, 0.0319079, -112349, 0, 56129.3, 97323.1, 17.0977, 1, 0.2657, 0.030292, -178510.5952, 0.0184039, 0.0318392, -120375, 0, 60138.9, 104275, 16.8622, -8179.29, -304838, -400969, 5.82104e+06, -257377, 76711.1
14.9917, 0.00771288 , -0.000111713 , -5.48686e-05, 0.389593 , -0.00385215 , -2.1408e-05, 0.000152009, 0.35768, -0.000749578 , -0.357679 , 0.00029915, -0.000749578 , -0.357679 , 0.00029915, 0.0814448 , 0.14971 , 0.000315793, -0.156924 , 0.19462 , -0.0589455, 0.375632, -7420.29 , -278038 , 45.1008, 0 , 0 , 32.4427, 0 , -1.34364e-06 , 0, -0.0551298 , 0 , -0.0514094, 5.13679e+06 , -147841 , -1199.52, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8064, -0.000266152 , -0.000395135 , 2.61842, 2.76187, -1.56854, 47, 122, 18.8064, 2.09009e+07, 1, 0.31001, 0.00689777, -59273.9327, 0.159144, 0.280149, -28437.1, -1185.34, 15234.8, 24041.1, 11.9954, 1, 0.27563, -0.0691249, -158442.9136, 0.157131, 0.275085, -76011, -3168.48, 40722, 64260.7, 11.9949, 1, 0.26638, 0.0671713, -183005.4211, 0.15573, 0.275821, -88289.9, -3659.67, 47282.3, 74651.7, 12.0626, -8169.29, -278257, -400645, 5.1368e+06, -138865, -1195.64
15.9917, -0.00353015 , -3.52955e-05 , -0.000370916, -0.444017 , -0.000120691 , -0.00160404, 2.2572e-05, 0.13783, 0.000339259 , 0.13783 , 0.000130503, 0.000339259 , 0.13783 , 0.000130503, 0.0315255 , 0.0533132 , 0.000326464, -0.0456907 , 0.0259155 , -0.0099769, 0.218357, 1489.75 , 296535 , -353.143, 0 , 0 , 32.4427, 0 , 7.18763e-06 , 0, -0.0551571 , 0 , -0.0514348, -5.85436e+06 , -4629.74 , -89205.3, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8062, 0.000673128 , -0.000372305 , 2.6183, 0.367222, 1.56816, 47, 122, 18.8062, 2.09009e+07, 1, 0.30828, 0.00326421, -58552.9308, 0.0140808, 0.0217264, 38659.8, 1170.53, -20333.4, -32901.4, -29.2966, 1, 0.26124, -0.00269873, -171544.3049, 0.000685718, -0.0128538, 102433, 3429.48, -54159.5, -87011.4, -14.9342, 1, 0.28174, 0.00249272, -170931.3696, -0.00918966, -0.00724007, 135347, -3416.83, -64677.5, -118942, -20.5177, 749.649, 295925, -401043, -5.85436e+06, -27871.5, -89205
16.9917, 0.000567851 , 0.000244997 , 7.94187e-05, 0.484571 , 0.0538439 , -0.00233279, 6.45864e-06, 0.0737276, -0.00263154 , 0.073679 , -0.000484963, -0.00263154 , 0.073679 , -0.000484963, -0.144198 , -0.24974 , -0.00050226, -0.797038 , -0.565655 , 0.245119, -0.307538, -4217.35 , -318711 , -131.402, 0 , 0 , 32.4427, 0 , -1.26703e-05 , 0, -0.0550898 , 0 , -0.0513721, 6.38906e+06 , 2.06663e+06 , -129715, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8062, -0.000367245 , -0.000428322 , 2.61869, -2.95935, 1.53449, 47, 122, 18.8062, 2.09009e+07, 1, 0.31289, 0.0166712, -57890.70729, -0.146187, -0.24381, -42832.6, -1157.51, 22393.4, 36530.9, 23.9946, 1, 0.27587, 0.0494808, -173533.2201, -0.143311, -0.236408, -129542, -3469.74, 67699.2, 110499, 23.5536, 1, 0.26554, -0.0564206, -168650.7288, -0.141208, -0.237628, -125457, -3372.12, 65574.8, 107009, 23.7276, -4979.1, -318915, -400822, 6.38905e+06, 34586.2, -129726
17.9917, -0.00542064 , -0.000117102 , -0.00156951, -0.351189 , 0.00136019 , 0.0133296, 0.000123784, 0.322768, 0.00325418 , 0.322752 , 0.000355233, 0.00325418 , 0.322752 , 0.000355233, -0.080594 , -0.134062 , 0.000406572, -0.133388 , -0.164682 , -0.0814034, 0.610275, 687.498 , 246943 , -21.8496, 0 , 0 , 32.4427, 0 , 1.19915e-06 , 0, -0.0551372 , 0 , -0.0514163, -4.63043e+06 , 52028.3 , 741305, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8064, 0.000226979 , -0.000401779 , 2.61816, 0.108732, 1.56065, 47, 122, 18.8064, 2.09009e+07, 1, 0.31051, 0.0111876, -59405.43781, -0.0641853, -0.110109, 29881.1, 0, -14936.4, -25880.2, -12.5765, 1, 0.2671, 0.0365725, -178883.0136, -0.120995, -0.25651, 54243.9, 3577.39, -30212.8, -45192.8, -7.5815, 1, 0.27466, -0.0395175, -162395.6684, -0.162555, -0.232568, 77083.2, -3247.59, -35718.1, -68385.6, -11.8678, -63.9872, 246503, -400712, -4.63043e+06, 50731.9, 741300
18.9917, 0.0105131 , -0.000534152 , -0.000153197, -0.189832 , 0.0104504 , 0.000846223, 0.000436052, 0.605799, 0.017788 , -0.605535 , -0.00183862, 0.017788 , -0.605535 , -0.00183862, 0.324091 , 0.585708 , -0.00119947, -2.43717 , 3.01593 , 0.479229, -0.196633, 8628.29 , 94636.5 , -1018.35, 0 , 0 , 32.4427, 0 , 1.79112e-05 , 0, -0.055196 , 0 , -0.0514711, -2.50293e+06 , 401185 , 46871.4, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8061, 7.70263e-05 , -0.000391499 , 2.6183, -0.102997, -1.54127, 47, 122, 18.8061, 2.09009e+07, 1, 0.30961, 0.0520096, -61408.65988, 0.439652, 0.765576, 24698.1, -1228.14, -11278.6, -22006.7, -10.055, 1, 0.27177, -0.193976, -148969.9197, 0.434025, 0.751313, 60087.3, 0, -30027.5, -52046.4, -10.0841, 1, 0.27104, 0.175124, -190907.843, 0.430097, 0.753608, 76820.6, -3818.07, -35082.6, -68448.5, -10.0601, 7878.96, 94302.5, -401708, -2.50279e+06, 424475, 46931.8
